,Sex,Race,CompositeGrades,StandardizedTestQuartile,TimeSpentOnHomeworkInSchool,TimeSpentOnHomeworkOutOfSchool,TimeSpentOnExtracurriculars,ParentsHighestLevelEducation,Socio-economicStatusQuartile,Tutored,FathersWishes,MothersWishes,GradesUndergrad
95,Female,White,2.5,3,3,5,2,3,3,-9,6,6,1
96,Female,White,9.9,2,0,1,0,99,8,-9,99,99,0
97,Female,White,3.3,4,7,3,3,3,2,-3,5,5,1
98,Female,White,3.5,4,2,5,4,3,3,-9,6,6,1
99,Female,White,3.0,3,5,3,4,2,1,-9,5,5,0
100,Female,White,3.5,3,3,2,2,3,3,-9,6,6,1
101,Male,White,2.5,3,1,2,0,3,4,-9,98,5,0
102,Male,White,9.8,1,1,2,1,5,4,-9,6,2,0
103,Female,White,9.9,3,2,7,4,99,2,-9,99,99,0
104,Female,Black,9.9,9,99,99,99,99,8,-9,99,99,0
105,Female,Black,3.5,3,1,3,1,3,3,-9,6,6,1
106,Female,White,4.0,4,1,2,4,3,2,-9,5,5,1
107,Female,Black,3.5,3,5,5,1,6,4,-9,6,6,0
108,Female,White,2.5,2,2,2,1,4,4,-9,98,98,0
109,Female,White,3.7,2,1,2,2,3,4,-9,6,6,1
110,Male,White,9.9,4,1,0,1,99,8,-9,99,99,1
111,Female,White,3.5,9,99,99,99,4,8,-9,6,6,1
112,Female,White,3.5,4,2,6,0,3,3,-9,5,5,1
113,Male,White,3.5,4,1,4,4,5,4,-9,5,5,1
114,Male,White,2.5,3,6,5,3,4,3,-9,5,5,0
115,Female,White,4.0,4,5,5,2,3,2,-9,5,5,1
116,Female,White,4.0,2,1,5,3,3,4,-9,5,5,1
117,Male,White,2.3,3,2,4,2,4,4,-9,5,5,0
118,Female,White,3.0,9,99,99,99,4,8,-9,6,5,1
119,Male,White,3.0,3,1,7,0,4,4,-9,5,5,0
120,Male,White,3.3,3,1,7,3,5,4,-9,5,5,0
121,Male,White,3.3,4,2,4,3,5,4,-9,7,4,1
122,Female,White,3.0,4,4,7,1,6,4,-9,5,5,1
123,Female,White,4.0,1,1,2,1,6,4,-9,6,6,1
124,Female,White,3.0,2,2,5,1,3,3,-9,6,6,0
125,Female,White,4.0,4,1,3,2,1,1,-9,7,7,1
126,Female,White,4.0,4,2,1,1,5,4,-3,4,4,1
127,Male,White,9.9,1,1,1,0,99,3,-3,99,99,1
128,Female,White,4.0,9,99,99,99,4,8,-9,6,6,1
129,Female,White,3.5,4,1,6,1,5,4,-9,5,5,1
130,Female,Black,2.8,3,3,2,3,3,1,-9,5,5,0
131,Female,White,3.5,4,2,4,1,4,4,-9,6,6,1
132,Male,White,2.5,3,6,5,3,4,3,-9,5,5,0
133,Male,White,9.9,6,99,99,99,99,9,-9,99,99,0
134,Male,Black,3.0,1,0,2,0,3,3,-9,6,6,0
135,Male,White,2.8,2,0,1,2,3,4,-9,5,6,0
136,Male,White,2.3,3,2,0,4,3,2,-9,5,5,0
137,Male,White,3.3,4,3,7,4,6,4,-9,6,6,0
138,Male,White,4.0,4,1,1,0,6,4,-9,6,6,1
139,Female,White,2.8,4,2,4,0,6,4,-9,5,6,1
140,Male,White,2.3,3,7,4,1,3,3,-9,98,98,0
141,Female,White,3.5,2,1,1,4,2,1,-9,5,5,0
142,Male,White,3.5,3,1,1,3,2,2,-9,5,5,1
143,Female,White,1.5,1,1,1,2,2,1,-9,7,7,0
144,Male,White,2.0,2,2,2,0,3,2,-9,2,4,0
145,Male,White,2.8,2,1,2,2,5,3,-9,3,3,0
146,Female,White,2.8,4,3,3,3,5,4,-9,6,6,0
147,Female,White,3.3,4,1,2,4,2,2,-9,5,5,1
148,Male,White,2.8,2,2,3,2,3,1,-9,5,5,0
149,Male,White,3.5,3,3,3,2,5,4,-9,6,6,1
150,Female,White,2.0,1,1,2,1,3,3,-9,7,7,0
151,Male,White,3.8,2,3,3,1,3,2,-9,4,4,0
152,Female,White,2.3,4,2,6,2,3,3,-9,2,5,1
153,Male,White,9.9,1,1,2,4,99,8,-9,99,99,0
154,Female,White,4.0,4,1,2,4,3,3,-9,5,5,1
155,Female,Black,2.1,1,2,0,2,3,2,-3,98,98,0
156,Male,White,3.5,3,1,2,2,5,4,-9,5,5,0
157,Male,White,3.0,4,3,3,2,6,4,-9,6,6,1
158,Male,White,3.3,4,1,3,2,4,4,-9,5,5,0
159,Female,Black,3.0,3,4,5,1,5,4,-9,6,6,1
160,Male,White,2.5,2,0,1,1,3,3,-9,5,5,0
161,Male,White,2.3,1,3,1,3,4,4,-9,5,5,0
162,Male,White,3.3,2,2,3,2,3,2,-9,5,5,1
163,Male,White,3.3,3,6,4,2,4,3,-3,6,6,1
164,Male,Black,9.8,1,0,1,0,4,3,-9,2,5,0
165,Female,White,3.0,3,2,5,4,4,3,-9,5,5,1
166,Male,White,2.8,4,2,2,0,4,3,-9,6,6,1
167,Male,White,4.0,4,3,6,2,5,4,-9,5,5,0
168,Male,White,2.0,2,4,1,1,3,2,-9,7,7,0
169,Female,White,3.8,3,1,5,0,4,4,-3,6,6,1
170,Male,White,2.5,2,3,1,0,3,2,-9,5,5,1
171,Female,Black,3.0,3,2,2,2,3,3,-9,4,4,0
172,Male,White,2.0,2,2,3,0,3,3,-9,98,98,0
173,Female,White,1.3,1,2,1,0,3,2,-9,98,98,0
174,Female,White,3.0,4,1,2,1,5,4,-9,5,5,1
175,Male,White,3.3,4,2,2,4,3,3,-9,6,6,1
176,Female,White,2.8,1,0,2,1,5,4,-9,7,7,1
177,Female,White,2.8,3,1,2,2,4,4,-9,5,5,0
178,Female,White,3.5,4,1,1,2,2,2,-9,4,5,1
179,Female,White,2.3,2,1,5,1,5,4,-9,5,5,1
180,Female,Black,2.3,1,3,2,1,2,3,-3,4,4,0
181,Male,White,3.8,4,1,5,98,5,4,-9,5,5,1
182,Female,White,3.0,2,1,1,0,3,1,-9,3,3,1
183,Male,White,3.3,4,2,2,1,3,3,-9,7,5,0
184,Female,White,3.0,2,3,5,4,3,2,-9,6,6,1
185,Male,White,2.3,2,4,0,0,2,3,-9,4,3,1
186,Male,Black,2.0,1,1,1,1,2,2,-9,7,1,1
187,Male,White,2.5,3,98,1,0,3,2,-9,4,4,0
188,Female,White,3.3,3,1,1,4,3,3,-9,2,6,0
189,Female,White,3.5,4,4,2,2,4,3,-3,6,5,1
