,Sex,Race,CompositeGrades,StandardizedTestQuartile,TimeSpentOnHomeworkInSchool,TimeSpentOnHomeworkOutOfSchool,TimeSpentOnExtracurriculars,ParentsHighestLevelEducation,Socio-economicStatusQuartile,Tutored,FathersWishes,MothersWishes,GradesUndergrad
1879,Female,White,3.0,1,1,1,2,5,4,-9,98,98,0
1880,Female,Black,3.8,4,4,7,0,3,3,-9,6,6,0
1881,Male,White,4.0,3,3,5,3,3,2,-9,5,5,1
1882,Female,White,4.0,4,4,3,3,5,4,-9,6,6,1
1883,Male,White,2.8,4,3,3,1,2,1,-3,5,5,0
1884,Male,White,3.3,9,99,99,99,3,8,-9,5,5,1
1885,Male,White,3.0,4,1,2,0,6,4,-9,6,6,1
1886,Male,White,3.5,4,3,1,3,3,3,-9,5,5,1
1887,Male,White,3.5,4,3,2,1,3,3,-9,7,7,0
1888,Male,White,4.0,4,4,2,4,6,4,-9,5,5,1
1889,Male,White,2.0,4,5,2,1,3,3,-9,6,6,1
1890,Female,White,2.8,2,3,4,4,2,1,-9,3,3,0
1891,Female,White,3.3,3,4,2,4,3,2,-9,5,5,1
1892,Male,White,2.8,2,2,2,2,5,4,-9,6,6,0
1893,Female,White,3.3,3,3,5,0,3,2,-9,3,3,1
1894,Male,White,1.5,1,4,2,4,2,2,-3,4,4,0
1895,Male,White,2.4,3,1,2,1,5,4,-9,5,5,0
1896,Female,White,3.8,4,1,7,1,4,4,-9,5,5,1
1897,Female,White,4.0,4,1,5,2,6,4,-9,6,5,1
1898,Male,White,2.8,4,3,2,1,3,2,-9,5,5,0
1899,Female,White,3.5,2,4,2,2,3,4,-3,4,5,1
1900,Female,White,3.0,3,3,1,2,3,2,-9,5,5,1
1901,Male,White,3.3,4,2,3,4,3,3,-9,6,6,0
1902,Male,White,3.0,4,5,2,1,5,4,-9,6,6,1
1903,Female,White,3.0,3,1,3,3,2,3,-9,7,5,1
1904,Male,White,9.9,9,98,98,4,99,8,-9,99,99,0
1905,Male,Black,4.0,2,3,5,4,1,1,-9,4,4,0
1906,Male,Black,1.5,3,1,5,2,4,4,-9,6,6,0
1907,Male,White,4.0,4,2,5,4,4,3,-9,6,6,1
1908,Male,White,2.8,4,1,1,0,2,1,-3,3,3,1
1909,Female,Black,4.0,3,1,5,0,4,4,-9,5,5,1
1910,Female,White,2.5,3,2,2,1,5,4,-9,6,6,0
1911,Female,White,9.8,1,0,2,0,2,2,-9,5,5,0
1912,Female,White,3.3,4,2,1,0,3,4,-9,4,4,0
1913,Female,White,2.3,3,1,2,4,3,3,-9,5,5,0
1914,Male,White,3.0,2,1,3,0,4,3,-9,5,5,1
1915,Female,White,3.5,3,4,6,3,2,2,-9,4,4,1
1916,Female,White,3.0,4,2,4,4,3,3,-9,7,4,0
1917,Male,White,2.8,2,0,3,0,3,1,-9,5,5,0
1918,Female,Black,2.3,9,99,99,99,3,8,-9,6,6,1
1919,Female,White,2.8,2,98,5,2,3,3,-9,4,4,0
1920,Female,White,4.0,2,7,6,0,2,2,-9,5,5,1
1921,Male,White,2.5,3,2,1,4,4,3,-9,7,7,1
1922,Male,White,4.0,4,3,2,2,2,2,-9,5,5,0
1923,Male,Black,3.0,1,0,2,0,3,3,-9,6,6,0
1924,Male,Black,2.5,1,0,1,0,2,2,-9,3,3,1
1925,Female,White,2.5,1,2,1,1,6,4,-9,6,5,0
1926,Female,White,3.0,4,1,2,3,4,3,-9,5,5,0
1927,Female,White,2.8,2,3,2,2,3,3,-9,5,5,1
1928,Male,Black,2.0,2,1,2,0,3,3,-9,4,4,0
1929,Female,White,4.0,4,2,2,2,5,4,-9,5,5,1
1930,Female,White,2.8,3,3,1,4,2,2,-9,2,3,1
1931,Male,White,1.4,1,2,2,0,3,3,-9,6,4,0
1932,Female,White,2.5,3,2,1,3,4,4,-9,6,6,1
1933,Male,White,4.0,4,2,4,4,2,2,-9,5,5,1
1934,Female,White,4.0,9,99,99,99,5,8,-9,5,5,1
1935,Male,Black,9.9,2,0,1,0,99,2,-3,99,99,0
1936,Male,Black,3.8,3,1,5,3,4,3,-9,7,7,1
1937,Male,Black,3.0,1,2,3,0,3,3,-9,98,5,0
1938,Male,White,3.5,4,3,4,3,6,4,-3,5,5,1
1939,Female,White,3.3,3,3,4,1,3,2,-9,7,7,1
1940,Male,Black,9.9,9,3,4,1,99,8,-3,99,99,0
1941,Male,Black,3.3,3,1,3,1,3,2,-9,6,6,1
1942,Female,White,3.3,4,1,3,4,5,3,-9,6,6,0
1943,Female,White,4.0,3,1,2,3,2,1,-9,5,5,0
1944,Female,White,4.0,4,2,3,2,2,3,-9,5,5,1
1945,Female,White,3.0,3,1,3,0,4,4,-9,4,4,1
1946,Male,White,3.0,4,0,1,0,2,2,-9,5,6,0
1947,Female,Black,2.4,1,0,0,0,2,1,-9,5,5,0
1948,Female,White,2.4,1,1,96,0,3,2,-9,5,5,1
1949,Male,Black,3.3,1,3,3,2,3,3,-9,5,5,0
1950,Male,Black,3.0,4,2,1,4,4,4,-9,6,6,0
1951,Female,White,4.0,4,3,6,2,5,4,-9,5,5,0
1952,Male,White,9.8,1,7,0,0,3,2,-3,7,7,0
1953,Female,White,2.5,3,7,2,4,3,3,-9,5,5,0
1954,Female,White,4.0,3,3,2,0,3,2,-3,5,5,0
1955,Female,White,3.5,4,2,2,2,2,2,-9,6,6,0
1956,Female,Black,3.3,3,5,7,4,3,2,-9,98,98,1
1957,Female,White,3.5,4,0,7,0,5,4,-9,7,7,1
1958,Female,White,3.0,4,4,3,0,4,4,-3,6,6,1
1959,Male,White,3.0,2,1,2,0,3,2,-9,4,5,1
1960,Female,White,2.8,3,5,2,2,3,2,-9,5,5,0
1961,Male,White,3.3,2,2,1,4,4,3,-9,5,5,0
1962,Female,White,3.3,3,3,4,4,2,1,-9,6,6,1
1963,Male,White,1.3,3,1,0,0,2,1,-9,3,3,1
1964,Female,White,3.8,4,3,2,0,3,3,-9,6,6,1
1965,Male,White,3.5,2,2,2,3,2,3,-9,2,6,1
1966,Male,White,2.8,3,1,0,0,4,4,-9,5,5,1
1967,Female,White,2.5,2,2,2,1,4,4,-9,98,98,0
1968,Male,White,2.5,9,2,3,0,2,2,-9,3,3,0
1969,Female,White,2.0,3,0,2,2,3,3,-9,5,4,0
1970,Male,White,1.8,1,2,96,0,1,1,-9,1,1,0
1971,Female,White,2.5,1,4,3,0,4,4,-9,5,5,1
1972,Male,White,3.7,4,7,3,3,3,3,-9,5,5,1
1973,Male,White,3.3,2,5,3,4,2,3,-9,5,5,1
1974,Male,White,1.8,3,1,4,0,2,1,-9,2,3,1
1975,Male,White,9.9,9,1,2,0,99,8,-9,99,99,1
1976,Female,White,3.5,2,2,3,4,4,3,-9,5,5,1
1977,Female,White,3.8,2,98,5,2,6,4,-9,6,6,1
1978,Female,White,3.3,4,6,5,3,2,3,-9,6,6,1
1979,Male,White,3.5,3,2,2,1,3,3,-9,5,5,1
1980,Female,White,3.7,2,1,1,1,3,2,-9,98,98,0
1981,Male,White,3.3,4,0,1,1,5,4,-9,6,6,1
1982,Female,White,4.0,4,2,6,3,4,3,-9,5,5,1
1983,Male,White,3.5,9,99,99,99,6,8,-3,6,6,0
1984,Male,White,2.3,3,2,1,2,3,3,-9,5,5,1
1985,Female,White,3.0,1,3,1,1,3,3,-9,5,5,1
1986,Female,White,4.0,3,3,2,2,3,3,-9,4,4,1
1987,Female,White,3.3,4,3,5,4,6,4,-9,5,5,1
1988,Male,White,3.0,3,3,1,3,3,4,-9,5,2,0
1989,Female,White,3.3,4,5,3,2,5,4,-9,6,6,1
1990,Male,White,2.8,2,1,1,1,3,2,-9,98,98,0
1991,Male,White,3.3,3,2,3,2,3,3,-9,6,6,0
1992,Female,White,3.3,4,1,3,2,2,2,-9,5,5,1
1993,Female,White,9.9,2,3,1,0,99,8,-9,99,99,0
1994,Female,White,2.8,3,7,5,0,2,3,-9,4,4,1
1995,Male,White,2.4,3,2,1,1,5,4,-3,6,6,1
1996,Male,White,2.8,1,2,2,0,3,3,-9,3,3,1
1997,Male,White,3.3,3,2,3,2,3,3,-9,6,6,0
1998,Female,White,2.8,9,2,3,5,3,3,-3,6,6,1
1999,Male,White,3.0,4,7,2,4,2,3,-9,5,5,1
2000,Male,Black,3.3,4,0,2,0,2,1,-9,6,6,0
2001,Male,White,2.8,4,2,4,4,3,4,-9,5,3,0
2002,Female,White,3.3,3,2,4,3,3,3,-9,6,6,1
2003,Female,White,3.0,9,2,1,1,2,1,-9,5,5,1
2004,Female,White,3.5,4,2,6,3,3,4,-9,5,5,1
2005,Female,Black,1.2,1,1,2,1,2,1,-9,98,98,0
2006,Male,White,4.0,4,2,4,3,3,3,-9,5,5,1
2007,Male,White,3.3,2,1,2,1,1,1,-9,5,5,0
2008,Male,White,2.5,2,1,0,0,2,1,-9,5,5,1
2009,Male,White,2.8,4,2,4,4,3,4,-9,5,3,0
2010,Female,White,4.0,9,3,5,3,3,2,-9,4,4,0
2011,Male,White,3.0,2,1,1,4,5,4,-3,5,5,0
2012,Female,White,3.3,3,2,5,98,2,2,-9,98,5,1
2013,Female,White,1.3,3,1,1,4,4,4,-9,5,5,1
2014,Male,White,3.5,3,1,1,5,5,4,-9,5,6,1
2015,Male,White,3.5,3,2,1,4,3,4,-9,5,5,0
2016,Male,White,3.5,4,3,2,0,3,2,-9,5,5,1
2017,Male,White,3.5,4,1,3,2,3,3,-9,5,5,1
2018,Female,White,2.8,4,2,3,5,3,1,-9,5,5,1
2019,Male,Black,3.0,1,2,3,0,3,3,-9,98,5,0
2020,Male,White,4.0,4,2,7,5,6,4,-9,5,6,1
2021,Female,White,3.0,3,3,2,0,3,3,-9,7,7,1
2022,Male,White,2.3,2,98,1,0,3,3,-9,7,7,0
2023,Female,White,2.3,3,3,2,0,3,1,-3,5,5,1
2024,Male,Black,9.9,2,1,0,0,99,3,-3,99,99,0
2025,Male,White,4.0,3,2,1,3,3,3,-9,6,5,0
2026,Female,White,3.5,3,4,4,3,5,4,-9,5,5,0
2027,Female,White,4.0,3,3,1,2,4,4,-9,5,5,0
2028,Female,White,3.5,3,2,6,2,6,4,-9,5,5,1
2029,Male,Black,1.8,2,0,3,2,2,1,-9,4,4,0
2030,Female,White,3.8,9,3,4,3,2,2,-9,5,4,1
2031,Male,White,3.8,4,3,2,3,3,2,-9,5,5,1
2032,Male,Black,9.9,3,0,0,0,99,3,-3,99,99,0
2033,Male,White,2.8,9,1,3,0,5,4,-9,5,5,0
2034,Female,Black,2.8,2,1,1,0,3,3,-3,6,6,0
2035,Female,White,4.0,4,2,7,4,4,3,-3,5,5,1
2036,Female,Black,4.0,3,98,3,1,4,3,-3,6,6,1
2037,Male,White,3.0,4,1,1,1,3,2,-9,98,5,1
2038,Male,Black,2.5,1,1,2,0,3,3,-9,98,98,0
2039,Male,Black,4.0,9,99,99,99,6,8,-9,6,5,0
2040,Female,White,3.3,3,3,7,3,3,3,-9,6,6,1
2041,Female,White,3.0,2,1,2,0,4,3,-9,5,5,1
2042,Female,White,4.0,4,3,2,0,3,3,-9,7,7,1
2043,Male,White,3.3,3,1,4,2,4,4,-9,5,5,1
2044,Male,White,4.0,3,1,7,2,4,3,-9,6,6,1
2045,Female,White,3.0,9,99,99,99,3,8,-9,98,4,0
2046,Female,White,4.0,4,5,4,0,5,4,-9,6,6,1
2047,Male,White,3.0,3,1,1,3,3,2,-9,6,6,1
2048,Female,White,2.5,3,0,1,1,4,4,-9,5,5,0
2049,Female,White,3.3,4,2,3,1,3,2,-3,6,6,1
2050,Male,White,4.0,4,4,5,3,4,4,-9,5,2,1
2051,Male,White,3.8,4,3,5,1,3,3,-9,5,5,1
2052,Female,White,3.8,4,1,4,3,5,4,-9,5,5,1
2053,Female,White,1.5,2,3,1,0,3,2,-9,98,98,0
2054,Male,White,3.5,4,1,3,2,3,3,-3,6,6,0
2055,Male,White,3.5,2,3,3,0,2,3,-9,5,5,0
2056,Male,White,1.8,2,4,1,2,2,1,-9,5,5,0
2057,Female,White,2.5,2,99,99,99,3,1,-3,5,5,0
2058,Female,White,1.5,9,99,99,99,4,8,-9,2,2,0
2059,Male,White,3.3,2,2,1,4,4,3,-9,5,5,0
2060,Male,White,1.6,3,5,4,4,2,1,-9,5,5,0
2061,Female,White,3.3,3,4,2,2,5,4,-9,6,6,1
2062,Female,White,3.5,4,2,6,4,6,4,-9,6,6,0
2063,Female,Black,2.3,1,1,0,0,3,1,-9,5,5,0
2064,Male,White,3.0,4,3,3,0,2,2,-9,5,5,1
2065,Female,White,3.8,4,2,3,1,4,4,-9,6,5,1
2066,Male,White,3.0,4,5,4,3,4,4,-9,5,5,0
2067,Female,White,3.3,4,1,2,2,4,4,-9,7,7,1
2068,Male,White,3.0,2,96,96,1,2,2,-9,6,6,0
2069,Male,White,3.3,9,99,99,99,3,8,-9,5,5,0
2070,Male,White,2.8,4,1,4,2,4,4,-9,5,5,0
2071,Male,White,3.0,4,2,2,3,3,3,-9,5,5,0
2072,Male,White,3.5,3,1,1,3,3,2,-9,6,6,0
2073,Male,White,3.8,4,1,6,4,5,4,-9,6,6,1
2074,Male,White,2.8,3,4,1,5,5,4,-3,5,5,1
2075,Male,White,3.3,4,3,3,2,6,4,-9,6,6,0
2076,Male,White,3.3,3,2,3,2,3,3,-9,6,6,0
2077,Female,White,2.5,2,1,3,0,2,2,-9,4,4,0
2078,Female,White,3.8,3,1,2,1,3,3,-9,6,5,1
2079,Male,White,3.8,4,3,2,2,3,2,-9,6,6,0
2080,Female,White,2.5,1,7,5,0,3,3,-9,4,4,0
2081,Male,White,3.3,2,2,1,4,4,3,-9,5,5,0
2082,Female,White,0.9,9,99,99,99,3,2,-3,2,2,0
2083,Female,White,3.0,2,1,1,2,1,1,-9,5,5,0
2084,Male,Black,2.3,2,2,1,3,4,4,-9,5,4,0
2085,Male,White,2.3,9,96,5,1,6,4,-9,5,5,0
2086,Male,White,3.3,4,7,7,0,6,4,-9,6,6,1
2087,Female,White,2.5,1,2,1,1,1,1,-3,4,4,1
2088,Male,White,4.0,9,99,99,99,6,8,-9,5,5,1
2089,Female,White,2.8,4,1,7,2,6,4,-9,7,7,1
2090,Male,White,2.3,3,2,1,0,2,2,-9,3,3,0
2091,Female,White,3.0,1,2,3,2,3,3,-9,6,6,1
2092,Male,White,2.3,9,1,2,0,3,3,-9,5,5,0
2093,Female,White,2.8,4,3,3,3,5,4,-9,6,6,0
2094,Male,White,0.8,9,99,99,99,3,3,-9,5,5,0
2095,Female,White,3.5,3,1,1,1,3,2,-9,98,98,0
2096,Female,White,3.3,9,99,99,99,6,8,-9,6,6,1
2097,Male,White,2.5,3,3,2,1,3,4,-9,5,5,0
2098,Male,White,9.9,1,1,1,0,99,3,-9,99,99,1
2099,Male,Black,3.0,1,1,5,3,2,2,-9,5,2,0
2100,Female,White,4.0,4,2,1,0,5,4,-9,5,5,1
2101,Female,White,3.3,4,1,2,3,4,3,-9,6,6,1
2102,Male,White,3.0,3,3,5,2,2,3,-9,5,5,1
2103,Male,Black,4.0,4,1,2,1,3,4,-9,5,5,0
2104,Female,White,9.9,9,99,99,99,99,8,-9,99,99,1
2105,Male,White,2.8,4,2,5,2,4,4,-3,98,6,1
2106,Male,Black,2.8,2,3,5,2,1,1,-9,6,6,1
2107,Female,Black,2.4,1,0,0,0,2,1,-9,5,5,0
2108,Male,White,3.5,3,1,0,1,2,2,-9,4,4,1
2109,Female,White,3.0,4,3,3,0,4,3,-9,5,5,0
2110,Female,White,2.5,2,1,4,4,4,4,-9,5,5,0
2111,Female,Black,3.0,9,2,4,2,4,2,-9,5,5,0
2112,Female,White,2.0,3,4,3,2,3,2,-9,7,7,0
2113,Male,White,3.3,2,2,1,2,3,3,-9,6,6,1
2114,Female,White,2.4,1,1,1,0,3,3,-9,98,98,1
2115,Male,White,2.5,2,0,1,0,5,4,-9,5,5,0
2116,Male,White,3.0,2,98,2,2,3,3,-9,98,98,0
2117,Male,White,9.9,9,3,4,2,99,8,-9,99,99,0
2118,Male,White,3.8,4,2,1,2,3,3,-9,5,5,0
2119,Male,White,3.3,4,3,3,3,4,3,-9,7,5,1
2120,Female,Black,3.5,1,1,1,3,2,1,-9,5,5,0
2121,Male,Black,1.5,3,1,5,2,4,4,-9,6,6,0
2122,Female,White,3.5,4,1,2,3,4,4,-9,6,6,0
2123,Male,White,3.0,2,1,2,2,2,2,-9,5,5,0
2124,Male,White,4.0,3,1,2,1,3,3,-9,5,5,0
2125,Male,White,2.5,4,1,1,3,6,4,-9,6,6,1
2126,Male,White,3.5,3,3,1,3,4,3,-9,5,5,1
2127,Male,White,3.8,4,3,1,4,4,4,-9,5,5,0
2128,Male,White,3.5,3,2,1,4,4,4,-9,5,5,0
2129,Male,Black,3.5,1,0,0,4,3,1,-9,4,6,0
2130,Female,White,3.0,4,1,2,2,3,3,-9,5,5,1
2131,Male,White,3.3,4,3,2,2,4,4,-3,3,3,1
2132,Male,White,2.8,9,98,98,98,5,4,-9,5,5,1
2133,Female,White,4.0,1,1,2,4,3,3,-9,6,6,1
2134,Female,White,3.3,3,0,3,5,6,4,-9,5,5,1
2135,Male,White,3.3,4,2,2,1,4,4,-9,6,5,1
2136,Male,White,3.0,3,5,5,2,3,3,-9,6,6,0
2137,Female,White,3.0,2,3,6,0,2,3,-9,7,7,0
2138,Female,White,3.5,4,7,4,2,2,1,-9,4,4,1
2139,Male,White,2.5,1,2,2,4,2,2,-3,5,5,0
2140,Female,White,3.5,4,4,2,0,2,2,-9,5,5,1
2141,Male,White,2.8,4,5,4,1,4,4,-9,6,6,0
2142,Female,White,2.5,3,3,4,2,2,1,-9,7,7,1
2143,Female,Black,2.5,1,98,2,3,2,1,-3,98,6,0
2144,Male,White,2.8,4,2,4,0,2,2,-9,5,5,0
2145,Male,White,2.3,2,3,2,0,3,3,-9,5,5,0
2146,Female,White,3.5,4,2,5,3,6,4,-9,6,6,1
2147,Female,White,1.9,1,2,3,1,3,2,-9,98,98,0
2148,Male,Black,3.5,3,2,5,4,2,1,-9,4,4,0
2149,Female,White,2.1,1,1,0,0,2,1,-3,6,6,1
2150,Female,White,3.5,3,1,6,1,4,4,-9,6,6,1
2151,Male,Black,9.9,9,1,1,0,99,1,-9,99,99,0
2152,Male,White,3.3,4,1,4,0,3,3,-9,5,5,0
2153,Male,White,3.3,2,1,1,0,3,3,-9,2,2,1
2154,Female,White,2.0,2,3,3,0,3,3,-9,5,5,0
2155,Male,White,3.8,4,2,1,0,3,3,-9,5,5,1
2156,Male,Black,1.8,3,2,1,2,3,3,-9,5,5,0
2157,Female,Black,3.3,1,1,2,1,3,1,-9,5,5,0
2158,Female,White,3.3,3,1,2,1,4,4,-9,5,5,1
2159,Female,White,2.5,1,3,2,2,3,2,-9,5,5,0
2160,Female,White,3.8,2,2,1,0,3,4,-9,5,5,1
2161,Female,White,3.8,3,2,2,3,3,3,-9,6,6,0
2162,Female,White,2.8,2,7,4,2,3,3,-9,5,5,1
2163,Female,Black,9.9,3,1,3,4,99,2,-9,99,99,0
2164,Female,White,3.0,1,2,2,1,3,4,-9,5,5,0
2165,Male,White,3.3,3,2,1,3,3,2,-9,98,98,0
2166,Female,White,3.5,3,1,2,0,7,2,-9,5,5,0
2167,Female,White,2.5,2,1,2,2,4,4,-9,4,4,0
2168,Female,Black,3.3,1,2,2,2,3,3,-9,5,5,1
2169,Male,White,2.3,1,2,2,0,2,1,-9,3,3,1
2170,Female,White,3.0,4,2,1,3,3,1,-9,5,5,1
2171,Female,White,2.8,1,2,3,3,2,2,-3,4,4,0
2172,Female,White,3.8,3,1,6,2,2,3,-9,5,5,1
2173,Male,Black,2.8,2,1,3,0,5,4,-9,98,98,0
2174,Male,White,4.0,4,1,1,1,4,4,-9,6,6,0
2175,Male,White,3.8,4,2,1,1,2,3,-9,5,5,1
2176,Female,White,3.8,4,2,4,4,5,4,-9,5,5,1
2177,Female,White,3.0,1,1,2,0,2,2,-3,2,2,1
2178,Female,White,2.5,1,3,2,2,5,4,-9,4,4,1
2179,Female,White,4.0,4,3,3,4,3,3,-9,6,6,1
2180,Male,White,3.3,4,4,7,4,4,4,-3,5,5,1
2181,Male,White,3.0,4,2,3,0,1,1,-9,5,5,1
2182,Female,White,4.0,4,1,3,4,4,4,-9,5,5,1
2183,Female,White,2.8,9,1,1,0,3,3,-9,5,5,0
2184,Female,White,4.0,4,3,2,3,5,4,-3,5,5,1
2185,Female,White,4.0,3,2,1,0,3,3,-9,5,5,1
2186,Female,White,2.0,3,4,4,4,4,3,-9,7,7,1
2187,Female,Black,3.5,9,1,6,3,5,4,-9,5,5,0
2188,Male,White,3.3,4,2,3,4,3,3,-9,6,6,0
2189,Male,White,2.3,1,4,7,1,6,4,-9,6,6,0
2190,Female,White,3.0,1,2,2,1,3,4,-9,5,5,0
2191,Male,White,3.8,4,1,2,0,2,2,-9,5,5,1
2192,Male,White,4.0,4,5,5,0,3,2,-3,5,5,1
2193,Male,White,2.8,9,1,3,0,5,4,-9,5,5,0
2194,Male,White,4.0,3,4,6,0,4,3,-9,5,7,0
2195,Male,Black,2.8,2,2,1,0,1,1,-9,5,5,0
2196,Female,White,2.5,1,2,3,2,2,2,-9,4,3,1
2197,Male,White,2.5,2,1,1,1,3,2,-9,5,4,0
2198,Male,White,4.0,4,2,1,0,4,3,-9,6,6,0
2199,Female,White,3.3,4,1,4,4,6,4,-9,6,6,1
2200,Female,White,4.0,4,3,5,3,5,4,-9,5,5,1
2201,Male,White,3.5,4,2,4,4,5,4,-9,98,98,1
2202,Male,White,4.0,4,3,1,0,5,4,-9,5,5,1
2203,Male,White,2.0,2,2,2,0,3,2,-9,2,4,0
2204,Male,White,2.8,4,1,0,0,2,2,-9,7,7,1
2205,Male,White,3.5,3,2,1,4,4,4,-9,5,5,0
2206,Male,Black,3.0,2,1,2,2,2,2,-3,6,6,0
2207,Female,Black,4.0,3,2,6,2,3,3,-9,6,6,0
2208,Female,White,4.0,4,2,4,4,5,4,-9,6,6,1
2209,Male,White,2.8,2,3,4,3,3,2,-9,3,3,0
2210,Female,White,3.3,3,1,2,3,3,2,-3,5,5,1
2211,Male,White,2.8,4,0,2,3,6,4,-9,6,6,0
2212,Female,White,4.0,4,3,5,3,4,4,-9,98,98,1
2213,Male,White,2.3,1,7,2,2,2,1,-9,6,6,0
2214,Male,Black,3.0,4,0,1,2,2,2,-3,6,5,1
2215,Male,Black,1.8,3,2,1,2,3,3,-9,5,5,0
2216,Female,Black,3.5,1,1,1,0,3,2,-3,3,3,1
2217,Female,White,9.9,4,2,2,0,99,4,-9,99,99,1
2218,Male,White,2.5,3,0,2,0,2,2,-9,7,7,1
2219,Female,White,4.0,9,99,99,99,5,8,-9,5,5,1
2220,Female,White,4.0,3,1,1,2,3,3,-9,5,5,1
2221,Female,Black,4.0,4,1,3,2,3,3,-9,5,6,1
2222,Male,White,2.5,1,1,2,98,4,3,-9,98,98,0
2223,Female,Black,3.3,2,98,2,3,3,2,-9,6,6,0
2224,Male,White,3.0,4,1,1,2,6,4,-9,5,5,1
2225,Female,White,2.0,1,1,2,1,3,3,-9,7,7,0
2226,Female,White,1.8,1,2,3,4,2,2,-9,4,6,0
2227,Male,White,3.5,4,1,2,2,6,4,-9,6,6,0
2228,Female,White,3.8,3,2,1,1,5,4,-9,6,6,1
2229,Female,Black,1.2,1,2,1,1,1,1,-9,5,5,0
2230,Male,Black,2.5,1,2,3,4,2,1,-9,4,4,0
2231,Female,White,1.6,1,4,1,3,3,2,-9,5,5,0
2232,Male,White,4.0,4,4,5,1,5,4,-9,6,6,1
2233,Male,White,2.5,3,2,1,1,3,3,-9,5,5,0
2234,Female,White,3.5,3,2,4,1,3,3,-9,6,6,0
2235,Male,White,3.5,3,5,4,1,3,3,-9,5,5,0
2236,Female,White,2.8,3,2,1,0,2,2,-9,5,5,0
2237,Male,Black,2.0,1,98,98,98,3,2,-9,5,5,1
2238,Female,White,2.5,3,4,6,1,2,2,-9,5,5,0
2239,Female,White,3.3,3,3,3,1,6,4,-9,5,5,1
2240,Female,White,2.3,1,1,1,0,3,1,-9,5,5,0
2241,Female,Black,2.5,1,96,96,2,1,1,-9,6,6,0
2242,Male,White,3.0,9,4,4,0,4,4,-9,6,6,1
2243,Female,White,4.0,4,1,6,3,6,4,-3,6,6,1
2244,Female,White,3.5,3,3,3,0,3,3,-9,4,4,1
2245,Male,White,4.0,3,4,6,4,6,4,-9,6,6,0
2246,Male,White,3.0,4,2,1,1,4,3,-9,6,6,1
2247,Female,White,4.0,4,2,6,4,2,2,-9,5,5,1
2248,Female,White,2.3,1,1,0,0,5,2,-9,4,4,0
2249,Male,White,3.5,3,1,6,4,4,4,-3,6,6,0
2250,Female,White,2.8,3,2,3,2,3,1,-9,5,6,0
2251,Female,Black,3.5,4,1,6,2,4,4,-9,6,6,0
2252,Female,Black,2.5,9,2,3,2,3,2,-3,98,98,0
2253,Female,White,3.0,3,4,3,1,2,2,-9,4,4,1
2254,Male,White,3.8,2,3,3,4,3,2,-9,98,98,1
2255,Male,White,3.8,9,99,99,99,4,8,-9,5,5,0
2256,Female,White,2.3,1,1,1,0,3,1,-9,5,5,0
2257,Female,Black,1.8,1,1,1,0,2,1,-9,4,4,1
2258,Female,Black,2.8,2,1,2,0,1,1,-9,4,4,0
2259,Male,White,9.9,3,1,3,0,99,3,-9,99,99,1
2260,Male,White,4.0,4,1,4,3,5,4,-9,5,5,1
2261,Female,White,2.5,2,96,96,1,3,3,-9,4,4,0
2262,Male,White,3.0,4,2,2,3,3,3,-9,5,5,0
2263,Male,White,0.6,2,0,2,0,4,3,-3,5,5,1
2264,Male,White,4.0,4,2,6,5,3,4,-9,6,6,0
2265,Male,White,9.8,4,2,6,0,6,4,-9,5,5,0
2266,Female,White,2.5,3,2,5,1,4,4,-3,5,5,0
2267,Female,White,3.3,3,2,1,98,4,4,-9,6,6,1
2268,Male,White,9.8,9,99,99,99,3,8,-9,7,2,0
2269,Female,White,3.3,3,2,3,0,3,3,-9,5,5,1
2270,Male,Black,2.5,2,1,1,2,5,4,-9,5,5,0
2271,Male,White,3.5,9,99,99,99,1,8,-9,98,4,0
2272,Female,White,3.0,3,3,2,0,5,4,-9,6,6,0
2273,Male,White,2.8,1,98,4,0,5,4,-9,5,5,1
2274,Female,White,3.8,9,1,5,0,3,3,-9,6,5,1
2275,Female,White,9.8,4,1,0,2,4,4,-9,6,5,0
2276,Male,White,2.5,2,3,2,0,6,4,-9,5,5,1
2277,Female,Black,3.0,3,2,2,2,3,3,-9,4,4,0
2278,Female,White,3.0,2,4,1,1,2,2,-9,5,5,1
2279,Female,Black,3.5,1,1,2,1,4,3,-9,6,6,1
2280,Female,Black,3.0,3,4,6,2,2,1,-9,2,4,0
2281,Female,White,3.0,3,3,3,4,3,3,-9,5,5,1
2282,Male,White,3.5,4,2,4,1,3,2,-9,5,5,0
2283,Female,White,3.8,3,3,3,1,6,4,-9,5,5,1
2284,Male,White,2.8,1,4,4,0,3,3,-3,5,5,1
2285,Female,Black,3.0,2,3,3,0,2,2,-9,98,98,1
2286,Female,White,3.5,3,2,4,2,2,1,-9,7,7,1
2287,Female,White,2.0,9,98,98,0,5,4,-9,5,5,0
2288,Male,White,3.8,4,1,2,1,4,4,-9,5,5,1
2289,Female,White,4.0,4,3,6,4,3,4,-9,6,6,1
2290,Male,White,3.3,4,1,2,1,6,4,-9,6,6,1
2291,Male,White,3.3,3,1,1,4,6,4,-9,5,5,1
2292,Female,White,2.3,3,1,4,0,5,4,-9,5,5,0
2293,Female,Black,2.3,1,1,3,1,2,2,-9,5,5,0
2294,Male,White,3.3,2,1,2,1,4,4,-3,5,5,0
2295,Male,White,3.0,3,3,4,4,5,4,-9,5,5,0
